FEN,Outcome
8/8/6k1/K7/8/6pP/6P1/8 b - - 0 1,0.5
8/8/8/K5k1/8/6pP/6P1/8 w - - 0 1,0.5
8/8/8/6k1/1K6/6pP/6P1/8 b - - 0 1,0.5
8/8/8/5k2/1K6/6pP/6P1/8 w - - 0 1,0.5
8/8/8/5k2/8/2K3pP/6P1/8 b - - 0 1,0.5
8/8/8/6k1/8/2K3pP/6P1/8 w - - 0 1,0.5
8/8/8/6k1/8/6pP/2K3P1/8 b - - 0 1,0.5
8/8/8/7k/8/6pP/2K3P1/8 w - - 0 1,0.5
8/8/8/7k/8/6pP/6P1/3K4 b - - 0 1,0.5
8/8/6k1/8/8/6pP/6P1/3K4 w - - 0 1,0.5
8/8/6k1/8/7P/6p1/6P1/3K4 b - - 0 1,0.5
8/8/8/5k2/7P/6p1/6P1/3K4 w - - 0 1,0.5
8/8/8/5k1P/8/6p1/6P1/3K4 b - - 0 1,0.5
8/8/5k2/7P/8/6p1/6P1/3K4 w - - 0 1,0.5
8/8/5k1P/8/8/6p1/6P1/3K4 b - - 0 1,0.5
8/5k2/7P/8/8/6p1/6P1/3K4 w - - 0 1,0.5
8/5k1P/8/8/8/6p1/6P1/3K4 b - - 0 1,0.5
8/7P/4k3/8/8/6p1/6P1/3K4 w - - 0 1,0.5
7Q/8/4k3/8/8/6p1/6P1/3K4 b - - 0 1,0.5
7Q/8/8/3k4/8/6p1/6P1/3K4 w - - 0 1,0.5
7Q/8/8/3k4/8/6p1/6P1/2K5 b - - 0 1,0.5
7Q/8/8/8/4k3/6p1/6P1/2K5 w - - 0 1,0.5
7Q/8/8/8/4k3/6p1/1K4P1/8 b - - 0 1,0.5
7Q/8/8/3k4/8/6p1/1K4P1/8 w - - 0 1,0.5
8/8/8/3k4/8/2Q3p1/1K4P1/8 b - - 0 1,0.5
8/8/8/8/4k3/2Q3p1/1K4P1/8 w - - 0 1,0.5
8/8/8/8/4k3/6Q1/1K4P1/8 b - - 0 1,0.5
8/8/8/8/3k4/6Q1/1K4P1/8 w - - 0 1,0.5
8/8/8/8/3k3Q/8/1K4P1/8 b - - 0 1,0.5
8/8/8/4k3/7Q/8/1K4P1/8 w - - 0 1,0.5
8/8/7Q/4k3/8/8/1K4P1/8 b - - 0 1,0.5
8/8/7Q/5k2/8/8/1K4P1/8 w - - 0 1,0.5
8/8/1Q6/5k2/8/8/1K4P1/8 b - - 0 1,0.5
8/8/1Q6/8/5k2/8/1K4P1/8 w - - 0 1,0.5
8/8/8/8/5k2/8/1K3QP1/8 b - - 0 1,0.5
8/8/8/8/4k3/8/1K3QP1/8 w - - 0 1,0.5
8/8/8/8/4k3/1K6/5QP1/8 b - - 0 1,0.5
8/8/8/4k3/8/1K6/5QP1/8 w - - 0 1,0.5
8/8/8/4k3/2K5/8/5QP1/8 b - - 0 1,0.5
8/8/3k4/8/2K5/8/5QP1/8 w - - 0 1,0.5
8/5Q2/3k4/8/2K5/8/6P1/8 b - - 0 1,0.5
8/5Q2/8/4k3/2K5/8/6P1/8 w - - 0 1,0.5
8/8/5Q2/4k3/2K5/8/6P1/8 b - - 0 1,0.5
8/8/5k2/8/2K5/8/6P1/8 w - - 0 1,0.5
8/8/5k2/8/8/2K5/6P1/8 b - - 0 1,0.5
8/8/8/4k3/8/2K5/6P1/8 w - - 0 1,0.5
8/8/8/4k3/1K6/8/6P1/8 b - - 0 1,0.5
8/8/8/3k4/1K6/8/6P1/8 w - - 0 1,0.5
8/8/8/3k4/K7/8/6P1/8 b - - 0 1,0.5
8/8/3k4/8/K7/8/6P1/8 w - - 0 1,0.5
8/8/3k4/K7/8/8/6P1/8 b - - 0 1,0.5
8/2k5/8/K7/8/8/6P1/8 w - - 0 1,0.5
8/2k5/8/1K6/8/8/6P1/8 b - - 0 1,0.5
8/3k4/8/1K6/8/8/6P1/8 w - - 0 1,0.5
8/3k4/8/8/K7/8/6P1/8 b - - 0 1,0.5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w - - 0 1,0.5
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b - - 0 1,0.5
rnbqkb1r/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w - - 0 1,0.5
rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppppppp/2n5/8/4n3/2N2N2/PPPP1PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppppppp/2n5/8/4N3/5N2/PPPP1PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppp1ppp/2n5/4p3/4N3/5N2/PPPP1PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppp1ppp/2n5/4N3/4N3/8/PPPP1PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppp1ppp/8/4n3/4N3/8/PPPP1PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppp1ppp/8/4n3/3PN3/8/PPP2PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/ppp2ppp/8/3pn3/3PN3/8/PPP2PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/ppp2ppp/8/3pP3/4N3/8/PPP2PPP/R1BQKB1R b - - 0 1,0.5
r1bq1b1r/ppp1kppp/8/3pP3/4N3/8/PPP2PPP/R1BQKB1R w - - 0 1,0.5
r1bq1b1r/ppp1kppp/8/3QP3/4N3/8/PPP2PPP/R1B1KB1R b - - 0 1,0.5
r1b2b1r/ppp1kppp/8/3qP3/4N3/8/PPP2PPP/R1B1KB1R w - - 0 1,0.5
r1b2b1r/ppp1kppp/4P3/3q4/4N3/8/PPP2PPP/R1B1KB1R b - - 0 1,0.5
r1b2b1r/ppp1kppp/4P3/8/4q3/8/PPP2PPP/R1B1KB1R w - - 0 1,0.5
r1b2b1r/ppp1kppp/4P3/8/4q3/8/PPP1BPPP/R1B1K2R b - - 0 1,0.5
r1b2b1r/ppp2ppp/4k3/8/4q3/8/PPP1BPPP/R1B1K2R w - - 0 1,0.5
r1b2b1r/ppp2ppp/4k3/8/4q3/8/PPP1BPPP/R1B2RK1 b - - 0 1,0.5
r1b2b1r/ppp2ppp/4k3/8/8/8/PPP1qPPP/R1B2RK1 w - - 0 1,0.5
r1b2b1r/ppp2ppp/4k3/8/8/P7/1PP1qPPP/R1B2RK1 b - - 0 1,0.5
r1b2b1r/ppp2ppp/8/4k3/8/P7/1PP1qPPP/R1B2RK1 w - - 0 1,0.5
r1b2b1r/ppp2ppp/8/4k1B1/8/P7/1PP1qPPP/R4RK1 b - - 0 1,0.5
r1b2b1r/ppp2ppp/8/6B1/4k3/P7/1PP1qPPP/R4RK1 w - - 0 1,0.5
r1b2b1r/ppp2ppp/8/6B1/4k3/P7/1PP1qPPP/1R3RK1 b - - 0 1,0.5
r1b2b1r/ppp2ppp/8/6B1/4k3/P7/1Pq2PPP/1R3RK1 w - - 0 1,0.5
r1b2b1r/ppp2ppp/5B2/8/4k3/P7/1Pq2PPP/1R3RK1 b - - 0 1,0.5
r1b2b1r/ppp2ppp/5B2/8/4k3/P7/1P3PPP/1q3RK1 w - - 0 1,0.5
r1b2b1r/ppp2ppp/5B2/8/4k3/P7/1P3PPP/1R4K1 b - - 0 1,0.5
r1b2b1r/ppp2p1p/5p2/8/4k3/P7/1P3PPP/1R4K1 w - - 0 1,0.5
r1b2b1r/ppp2p1p/5p2/8/4k3/P7/1P3PPP/1R3K2 b - - 0 1,0.5
